time,weight,g,-
5426,7.938,[g],(0xc8a0)
6098,178.516,[g],(0xb7f2)
6771,-40.391,[g],(0xcae6)
7445,-2.969,[g],(0xbc03)
8118,45.453,[g],(0xd4a6)
8791,1013.750,[g],(0xad13)
9463,1819.281,[g],(0xa286)
10136,639.031,[g],(0xe49a)
10809,259.391,[g],(0xc748)
11482,4.000,[g],(0xc7d6)
12155,9.609,[g],(0xc8a2)
12828,-40.688,[g],(0xbeab)
13501,82.578,[g],(0xc717)
14174,92.328,[g],(0x1617)
14846,1252.484,[g],(0x3505)
15519,2702.625,[g],(0xb7ee)
16193,2231.141,[g],(0xe85b)
16866,1392.500,[g],(0x84ce)
17539,1329.828,[g],(0xb2cc)
18211,2589.922,[g],(0x9b3d)
18884,3022.766,[g],(0x9b67)
19557,2727.859,[g],(0xd2cc)
20230,3024.844,[g],(0x6b84)
20903,338.625,[g],(0xc19c)
21576,6.188,[g],(0xceef)
22249,-30.266,[g],(0x 96d)
22922,1385.547,[g],(0xbeb2)
23595,2237.344,[g],(0x2be2)
24267,3266.266,[g],(0xd535)
24941,-35.688,[g],(0xbcba)
25614,-50.422,[g],(0xc383)
26287,-13.938,[g],(0xb694)
26959,260.063,[g],(0x11e1)
27632,6842.625,[g],(0x1cc5)
28305,11153.078,[g],(0x4c8b)
28979,10780.156,[g],(0xa557)
29651,7127.609,[g],(0x 34d)
30324,6488.250,[g],(0x580b)
30997,4312.672,[g],(0x576a)
31670,-41.453,[g],(0xe330)
32343,2090.875,[g],(0x59e4)
33016,7782.359,[g],(0xe821)
33689,238.328,[g],(0x9fee)
34362,2860.188,[g],(0xff27)
35035,7169.453,[g],(0x3432)
35707,6981.625,[g],(0x3cc1)
36380,6823.109,[g],(0x364f)
37054,6752.172,[g],(0x381a)
37727,6880.281,[g],(0x41ed)
38400,6568.016,[g],(0xe42b)
39072,7092.469,[g],(0xbe7c)
39745,7491.094,[g],(0x9370)
40419,8056.406,[g],(0x26d2)
41092,7552.422,[g],(0xb543)
41764,7317.484,[g],(0x7520)
42437,12.641,[g],(0xc629)
43110,12.906,[g],(0xbd90)
43783,-0.594,[g],(0xca59)
44456,3.828,[g],(0xc5c8)
45129,26.906,[g],(0xcd68)
45802,-10.641,[g],(0xc395)
46475,-7.766,[g],(0xca82)
47148,39.250,[g],(0xc679)
