time,weight,g,-
497157,0.078,[g],(0xc3ea)
497829,0.375,[g],(0xc3d1)
498503,1.156,[g],(0xc3e2)
499176,0.844,[g],(0xc3ef)
499849,0.672,[g],(0xc3e9)
500523,0.172,[g],(0xc3de)
501195,0.656,[g],(0xc3d7)
501868,0.938,[g],(0xc428)
502542,0.594,[g],(0xc3ef)
503215,1.234,[g],(0xc415)
503887,0.203,[g],(0xc3d7)
504561,0.781,[g],(0xc3d2)
505234,0.484,[g],(0xc3d2)
505907,1.047,[g],(0xc3e0)
506580,0.734,[g],(0xc3ea)
507253,0.047,[g],(0xc3ce)
507926,0.531,[g],(0xc3f2)
508600,0.672,[g],(0xc3cf)
509273,0.359,[g],(0xc3ff)
509946,0.047,[g],(0xc3cf)
510619,0.609,[g],(0xc3ca)
511292,-0.109,[g],(0xc3b6)
511966,0.766,[g],(0xc3e8)
512638,0.375,[g],(0xc3be)
513311,1.063,[g],(0xc406)
513985,0.875,[g],(0xc3e8)
514658,0.313,[g],(0xc40c)
515331,0.172,[g],(0xc3d0)
516004,0.078,[g],(0xc3b9)
516677,0.828,[g],(0xc43b)
517350,0.266,[g],(0xc3e4)
518024,0.984,[g],(0xc41f)
518696,1.125,[g],(0xc3dc)
